feature_name,date_code,measure,response,percent,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity
Aberdeenshire,2015,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Renfrewshire,2015,distance_to_nearest_green_or_blue_space,Within a 6-10 minute walk,28,All,Urban,All,All,All,All
South Lanarkshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,58,All,Urban,All,All,All,All
East Dunbartonshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,All,All,All,With Children,All
East Renfrewshire,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,59,All,Urban,All,All,All,All
Scottish Borders,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,72,Female,All,All,All,All,All
Glasgow City,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,59,All,Urban,All,All,All,All
South Ayrshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,70,All,Urban,All,All,All,All
North Lanarkshire,2015,distance_to_nearest_green_or_blue_space,An 11 minute walk or more,14,All,Urban,All,All,All,All
Orkney Islands,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,75,All,All,All,All,Adults,All
Perth and Kinross,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,75,All,All,All,All,All,All
South Ayrshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,82,Male,All,All,All,All,All
Orkney Islands,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,70,Male,All,All,All,All,All
North Lanarkshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,58,Female,All,All,All,All,All
Orkney Islands,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,69,All,All,All,All,All,All
North Lanarkshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,57,Male,All,All,All,All,All
North Lanarkshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,52,All,All,All,All,Pensioners,All
North Lanarkshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,65,All,All,All,All,All,All
North Lanarkshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,71,All,All,All,All,With Children,All
Perth and Kinross,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,86,All,All,All,All,Adults,All
Perth and Kinross,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,80,Male,All,All,All,All,All
South Ayrshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,70,Female,All,All,All,All,All
South Ayrshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,76,All,All,All,All,All,All
Shetland Islands,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,74,All,All,All,All,All,All
North Lanarkshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,62,All,All,All,All,Pensioners,All
North Lanarkshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,66,All,All,All,All,With Children,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,All,All,All,All,All
North Lanarkshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,Male,All,All,All,All,All
South Ayrshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,76,All,All,All,All,Adults,All
North Lanarkshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,65,All,All,All,All,Adults,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,60,All,All,All,All,Pensioners,All
Glasgow City,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,47,All,All,All,All,Pensioners,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,Female,All,All,All,All,All
Aberdeen City,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,All,All,All,Adults,All
South Ayrshire,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,68,All,All,All,All,All,All
Aberdeenshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,71,All,All,All,All,Pensioners,All
Shetland Islands,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,73,All,All,All,All,All,All
Aberdeen City,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,79,All,All,All,All,All,All
North Lanarkshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,66,Female,All,All,All,All,All
Shetland Islands,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,80,All,All,All,All,All,All
South Ayrshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,70,All,All,All,All,Pensioners,All
Aberdeenshire,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,72,Male,All,All,All,All,All
Perth and Kinross,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,71,Female,All,All,All,All,All
Perth and Kinross,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,66,All,All,All,All,Pensioners,All
South Ayrshire,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,82,All,All,All,All,All,All
Scottish Borders,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,74,All,All,All,All,All,All
Perth and Kinross,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,69,All,All,All,All,With Children,All
Angus,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Scotland,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Falkirk,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,Female,All,All,All,All,All
East Dunbartonshire,2018,distance_to_nearest_green_or_blue_space,Don't Know,3,All,All,All,All,All,All
South Lanarkshire,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,57,All,All,All,All,Pensioners,All
South Lanarkshire,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,72,All,All,All,All,Adults,All
South Lanarkshire,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,62,All,All,All,All,With Children,All
Clackmannanshire,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,Male,All,All,All,All,All
West Lothian,2018,distance_to_nearest_green_or_blue_space,Don't Know,1,All,All,All,All,All,All
Renfrewshire,2018,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,All,All
Scotland,2015,distance_to_nearest_green_or_blue_space,Don't Know,0,All,All,All,All,With Children,All
Scotland,2014,distance_to_nearest_green_or_blue_space,Don't Know,2,All,All,All,All,Pensioners,All
Falkirk,2018,distance_to_nearest_green_or_blue_space,Don't Know,2,Male,All,All,All,All,All
Glasgow City,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,59,All,All,All,All,All,All
Glasgow City,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,61,All,All,All,All,Adults,All
Glasgow City,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,Male,All,All,All,All,All
North Lanarkshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,52,All,All,All,All,Adults,All
North Lanarkshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,58,All,All,All,All,All,All
Glasgow City,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,56,Female,All,All,All,All,All
East Dunbartonshire,2017,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,Female,All,All,All,All,All
South Lanarkshire,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,65,All,All,All,All,All,All
South Lanarkshire,2013,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,65,Female,All,All,All,All,All
Glasgow City,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,All,All,All,With Children,All
Midlothian,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,72,Female,All,All,All,All,All
West Dunbartonshire,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,43,All,All,All,All,All,All
Midlothian,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,73,All,All,All,All,Adults,All
Perth and Kinross,2016,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,76,Female,All,All,All,All,All
Perth and Kinross,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,76,All,All,All,All,All,All
Aberdeenshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,78,All,All,All,All,All,All
Aberdeenshire,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,64,All,All,All,All,All,All
Fife,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,86,All,All,All,All,All,All
Renfrewshire,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,74,All,All,All,All,All,All
Aberdeen City,2014,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,58,All,All,All,All,All,All
Stirling,2015,distance_to_nearest_green_or_blue_space,A 5 minute walk or less,80,All,All,All,All,All,All
